"","caseid","commonweight","age","gender","race_eth","education","marital","employment","device","republican","public_ins","public_option"
"150",1028810041,1.69908072583911,56,"Male","White","College graduate or higher","Never married","Employed","Computer",1,0,1
"151",1028804987,0.654802937001407,32,"Female","Other","College graduate or higher","Never married","Employed","Smartphone",0,0,1
"152",1028795779,1.16403444471168,53,"Male","White","College graduate or higher","Married","Employed","Tablet",1,0,0
"153",1028833007,0.767722789028113,60,"Female","White","Some college or 2-year degree","Divorced","Unemployed","Computer",0,1,1
"154",1028811175,1.06632881859374,51,"Male","White","College graduate or higher","Married","Employed","Computer",0,0,0
"155",1028809645,0.628807550702573,74,"Male","White","College graduate or higher","Married","Retired","Computer",0,0,1
"156",1028809459,0.271662691498045,49,"Male","Other","College graduate or higher","Married","Retired","Computer",0,0,0
"157",1028825021,1.89431786028389,53,"Male","White","College graduate or higher","Married","Employed","Computer",0,0,1
"158",1028827075,0.928108811108214,55,"Male","White","Some college or 2-year degree","Married","Disabled","Computer",1,1,1
"159",1028810183,0.499516812402854,68,"Male","White","College graduate or higher","Divorced","Employed","Computer",0,0,1
"160",1028827081,0.804143793904074,72,"Male","White","Some college or 2-year degree","Married","Employed","Computer",0,1,1
"161",1028790749,0.204906141778351,63,"Female","Other","College graduate or higher","Never married","Retired","Computer",0,0,1
"162",1028825765,0.79512287187245,30,"Female","White","College graduate or higher","Never married","Other","Computer",0,0,1
"163",1028672995,1.08444302694771,24,"Female","White","High school graduate","Never married","Unemployed","Smartphone",0,1,0
"164",1028797929,0.399101498898303,49,"Female","Hispanic/Latino","Some college or 2-year degree","Married","Retired","Smartphone",0,1,0
"165",1028843525,0.630962023084062,47,"Male","White","High school graduate","Divorced","Other","Computer",1,1,1
"166",1028831243,0.555138474789327,77,"Female","White","College graduate or higher","Never married","Retired","Computer",0,1,1
"167",1028856237,0.810827525938178,23,"Female","Black","High school graduate","Married","Employed","Smartphone",0,0,1
"168",1028433995,1.73033476067907,73,"Male","White","College graduate or higher","Widowed","Retired","Computer",0,1,0
"169",1028596757,1.01480439769818,68,"Female","White","Some college or 2-year degree","Married","Other","Computer",0,1,1
"170",1028784645,1.14372381045705,71,"Female","White","High school graduate","Married","Retired","Tablet",1,1,0
"171",1028739619,0.512862863200371,29,"Female","Native American","College graduate or higher","Married","Employed","Smartphone",0,0,1
"172",1028847539,2.09478845843067,75,"Female","White","College graduate or higher","Never married","Employed","Computer",1,1,1
"173",1028843573,0.402205618603564,34,"Female","White","Some college or 2-year degree","Married","Employed","Smartphone",0,0,1
"174",1028842553,0.434566723420885,51,"Female","White","High school graduate","Divorced","Other","Smartphone",1,0,1
"175",1028780093,2.20461501488759,40,"Male","White","College graduate or higher","Married","Employed","Smartphone",0,0,1
"176",1028195391,0.717598042554957,67,"Female","White","College graduate or higher","Never married","Employed","Tablet",0,1,1
"177",1028824129,1.30082108041042,64,"Female","White","College graduate or higher","Married","Retired","Computer",0,0,1
"178",1028856393,0.836252062067234,36,"Female","White","College graduate or higher","Never married","Employed","Computer",0,0,1
"179",1028848717,0.456324175745837,37,"Female","White","College graduate or higher","Never married","Employed","Tablet",1,0,1
"180",1028533545,1.22435315847351,51,"Female","White","College graduate or higher","Never married","Employed","Tablet",0,0,1
"181",1028854447,0.76540334944405,69,"Female","White","College graduate or higher","Married","Employed","Computer",0,1,1
"182",1028853853,0.956233138941272,46,"Male","White","College graduate or higher","Married","Employed","Tablet",0,0,1
"183",1028853179,0.64958991927288,54,"Male","White","Some college or 2-year degree","Married","Disabled","Smartphone",1,0,0
"184",1028498023,0.625709604944465,60,"Female","White","Some college or 2-year degree","Never married","Employed","Computer",0,0,1
"185",1028834927,2.10289310352392,48,"Female","White","College graduate or higher","Married","Employed","Tablet",0,0,1
"186",1028854897,0.145803229518371,29,"Male","Native American","College graduate or higher","Never married","Employed","Smartphone",0,1,1
"187",1028856777,0.424761779134793,62,"Male","White","High school graduate","Married","Employed","Smartphone",0,0,1
"188",1028564085,0.729962665160506,67,"Female","White","Some college or 2-year degree","Divorced","Retired","Computer",1,1,0
"189",1028852855,0.409680325152722,46,"Female","White","College graduate or higher","Married","Employed","Tablet",0,0,1
"190",1028564607,1.24785370917729,36,"Female","White","College graduate or higher","Married","Employed","Smartphone",0,0,1
"191",1028834449,0.8170722415909,27,"Male","White","College graduate or higher","Never married","Employed","Computer",0,0,0
"192",1028002073,1.12542550807884,59,"Female","White","Some college or 2-year degree","Divorced","Employed","Computer",1,0,1
"193",1028831285,0.406000624313463,44,"Female","White","College graduate or higher","Married","Employed","Computer",0,0,1
"194",1028831395,1.1040009217331,64,"Male","White","Some college or 2-year degree","Divorced","Retired","Computer",1,1,0
"195",1028854953,0.736876661615653,57,"Male","White","Some college or 2-year degree","Married","Employed","Computer",0,0,0
"196",1026198471,1.36862386268503,34,"Female","White","Some college or 2-year degree","Married","Employed","Smartphone",1,0,1
"197",1028854959,0.416310697723045,67,"Female","Black","Some college or 2-year degree","Never married","Retired","Tablet",0,1,1
"198",1028833047,0.708263796188672,48,"Male","White","College graduate or higher","Married","Employed","Smartphone",0,0,1
"199",1028854969,1.39805900823299,72,"Male","White","College graduate or higher","Married","Retired","Computer",0,1,1
"200",1028316861,0.91238167962134,22,"Female","White","Some college or 2-year degree","Never married","Other","Computer",0,1,1
"201",1028563915,1.04771139455025,63,"Male","White","Some college or 2-year degree","Married","Disabled","Smartphone",1,1,0
"202",1028848843,0.966973715348447,61,"Female","White","College graduate or higher","Divorced","Retired","Tablet",0,0,1
"203",1028850131,0.409680325152722,51,"Female","White","College graduate or higher","Married","Other","Smartphone",0,0,1
"204",1027930321,0.48013002673999,43,"Female","White","Some college or 2-year degree","Divorced","Employed","Smartphone",0,0,1
"205",1028855843,0.640221033933552,23,"Female","White","College graduate or higher","Never married","Employed","Computer",0,0,1
"206",1028857559,1.52744992482045,57,"Female","White","Less than high school","Widowed","Other","Smartphone",0,1,0
"207",1028611803,0.271434951893647,36,"Female","White","College graduate or higher","Married","Employed","Computer",0,0,0
"208",1028625631,1.7286955495879,33,"Male","White","College graduate or higher","Divorced","Employed","Smartphone",1,0,0
"209",1028852365,0.849894268864718,33,"Male","White","Some college or 2-year degree","Never married","Employed","Smartphone",1,0,0
"210",1028855527,1.56939071709344,40,"Female","Asian","Some college or 2-year degree","Married","Employed","Computer",0,0,0
"211",1028852621,0.721421389211898,58,"Male","White","Some college or 2-year degree","Never married","Employed","Computer",0,0,1
"212",1028382441,0.639327831170076,41,"Female","Other","College graduate or higher","Never married","Employed","Computer",0,0,1
"214",1028565227,1.15012407914127,70,"Male","White","Some college or 2-year degree","Widowed","Retired","Computer",0,1,0
"215",1028857787,0.684412343665674,45,"Female","White","Some college or 2-year degree","Divorced","Disabled","Smartphone",0,1,1
