ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,,
CT-011,New London County,Connecticut,3.13,49,-0.98,4.11,,
CT-013,Tolland County,Connecticut,2.63,36,-1.33,3.96,,
CT-015,Windham County,Connecticut,2.66,35,-1.38,4.04,,
DE-001,Kent County,Delaware,0.55,2,-2.5,3.05,,
DE-003,New Castle County,Delaware,1.64,26,-1.47,3.11,,
DE-005,Sussex County,Delaware,0.52,3,-2.53,3.05,,
FL-001,Alachua County,Florida,0.07,1,-1.91,1.98,,
FL-003,Baker County,Florida,0.1,1,-1.88,1.98,,
FL-005,Bay County,Florida,0.11,1,-3.43,3.54,,
FL-007,Bradford County,Florida,0.07,1,-1.92,1.99,,
FL-009,Brevard County,Florida,0.33,4,-2.04,2.37,,
FL-011,Broward County,Florida,0.73,12,-2.03,2.76,,
FL-013,Calhoun County,Florida,0.23,3,-3.03,3.26,,
FL-015,Charlotte County,Florida,0.03,1,-1.61,1.64,,
FL-017,Citrus County,Florida,0.03,2,-1.95,1.98,,
FL-019,Clay County,Florida,0.12,1,-1.89,2.01,,
FL-021,Collier County,Florida,0.16,2,-1.53,1.69,,
FL-023,Columbia County,Florida,0.07,1,-1.96,2.03,,
FL-027,DeSoto County,Florida,0.05,1,-1.69,1.74,,
FL-029,Dixie County,Florida,0.16,3,-2,2.16,,
FL-031,Duval County,Florida,0.11,2,-1.87,1.98,,
FL-033,Escambia County,Florida,0.82,6,-2.88,3.7,,
FL-035,Flagler County,Florida,0.23,4,-2.07,2.3,,
FL-037,Franklin County,Florida,0.2,2,-2.75,2.95,,
FL-039,Gadsden County,Florida,0.31,3,-2.58,2.89,,
FL-041,Gilchrist County,Florida,0.14,1,-1.92,2.06,,
FL-043,Glades County,Florida,0.02,1,-1.67,1.69,,
FL-045,Gulf County,Florida,0.14,2,-3.01,3.15,,
FL-047,Hamilton County,Florida,0.02,1,-2.23,2.25,,
FL-049,Hardee County,Florida,0.07,2,-1.71,1.78,,
FL-051,Hendry County,Florida,0.02,1,-1.7,1.72,,
FL-053,Hernando County,Florida,0.02,1,-1.93,1.95,,
FL-055,Highlands County,Florida,0.02,1,-1.72,1.74,,
FL-057,Hillsborough County,Florida,0.07,2,-1.77,1.84,,
FL-059,Holmes County,Florida,0.16,1,-3.42,3.58,,
FL-061,Indian River County,Florida,0.53,8,-1.83,2.36,,
FL-063,Jackson County,Florida,0.41,9,-2.79,3.2,,
FL-065,Jefferson County,Florida,0.18,3,-2.47,2.65,,
FL-067,Lafayette County,Florida,0.09,2,-2.18,2.27,,
FL-069,Lake County,Florida,0.05,1,-1.83,1.88,,
FL-071,Lee County,Florida,0.05,1,-1.5,1.55,,
FL-073,Leon County,Florida,0.33,3,-2.5,2.83,,
FL-075,Levy County,Florida,0.16,3,-1.83,1.99,,
FL-077,Liberty County,Florida,0.24,2,-2.82,3.06,,
FL-079,Madison County,Florida,0.05,2,-2.45,2.5,,
FL-081,Manatee County,Florida,0.04,2,-1.85,1.89,,
FL-083,Marion County,Florida,0.1,2,-1.88,1.98,,
FL-085,Martin County,Florida,0.5,5,-2.28,2.78,,
FL-086,Miami-Dade County,Florida,0.6,13,-1.78,2.38,,
FL-087,Monroe County,Florida,0.32,6,-1.65,1.97,,
FL-089,Nassau County,Florida,0.05,1,-1.93,1.98,,
FL-091,Okaloosa County,Florida,0.37,2,-3.25,3.62,,
FL-093,Okeechobee County,Florida,0.27,4,-1.71,1.98,,
FL-095,Orange County,Florida,0.16,4,-1.77,1.93,,
FL-097,Osceola County,Florida,0.24,5,-1.69,1.93,,
FL-099,Palm Beach County,Florida,0.45,4,-2.43,2.88,,
FL-101,Pasco County,Florida,0.05,2,-1.86,1.91,,
FL-103,Pinellas County,Florida,0.02,2,-1.89,1.91,,
FL-105,Polk County,Florida,0.11,4,-1.71,1.82,,
FL-107,Putnam County,Florida,0.16,3,-1.91,2.07,,
FL-109,St. Johns County,Florida,0.21,4,-1.98,2.19,,
FL-111,St. Lucie County,Florida,0.59,8,-1.96,2.55,,
FL-113,Santa Rosa County,Florida,0.59,5,-3.12,3.71,,
FL-115,Sarasota County,Florida,0.05,2,-1.8,1.85,,
FL-117,Seminole County,Florida,0.13,3,-1.84,1.97,,
FL-119,Sumter County,Florida,0.03,1,-1.86,1.89,,
FL-121,Suwannee County,Florida,0.06,1,-2.13,2.19,,
FL-123,Taylor County,Florida,0.07,3,-2.43,2.5,,
FL-125,Union County,Florida,0.08,1,-1.9,1.98,,
FL-127,Volusia County,Florida,0.14,3,-2.08,2.22,,
FL-129,Wakulla County,Florida,0.35,4,-2.54,2.89,,
FL-131,Walton County,Florida,0.27,2,-3.37,3.64,,
FL-133,Washington County,Florida,0.14,1,-3.35,3.49,,
GA-001,Appling County,Georgia,0.18,2,-2.02,2.2,,
GA-003,Atkinson County,Georgia,0.07,1,-2.17,2.24,,
GA-005,Bacon County,Georgia,0.23,3,-1.96,2.19,,
GA-007,Baker County,Georgia,0.07,2,-2.79,2.86,,
GA-009,Baldwin County,Georgia,0.77,12,-1.96,2.73,,
GA-011,Banks County,Georgia,1.93,29,-1.66,3.59,,
GA-013,Barrow County,Georgia,2.1,40,-1.26,3.36,,
GA-015,Bartow County,Georgia,1.94,32,-1.55,3.49,,
GA-017,Ben Hill County,Georgia,0.02,1,-2.42,2.44,,
GA-019,Berrien County,Georgia,0.11,2,-2.23,2.34,,
GA-021,Bibb County,Georgia,1.11,25,-1.67,2.78,,
GA-023,Bleckley County,Georgia,0.31,2,-2.28,2.59,,
GA-025,Brantley County,Georgia,0.16,2,-1.9,2.06,,
GA-027,Brooks County,Georgia,0.25,4,-2.25,2.5,,
GA-029,Bryan County,Georgia,0.16,2,-1.97,2.13,,
GA-031,Bulloch County,Georgia,0.26,3,-2.09,2.35,,
GA-033,Burke County,Georgia,0.42,7,-2.01,2.43,,
GA-035,Butts County,Georgia,2.04,50,-0.94,2.98,,
GA-037,Calhoun County,Georgia,0.03,1,-2.9,2.93,,
GA-039,Camden County,Georgia,0.04,1,-1.98,2.02,,
GA-043,Candler County,Georgia,0.56,7,-1.8,2.36,,
GA-045,Carroll County,Georgia,2.68,50,-1,3.68,,
GA-047,Catoosa County,Georgia,3.87,70,0.01,3.86,,
GA-049,Charlton County,Georgia,0.05,1,-1.97,2.02,,
GA-051,Chatham County,Georgia,0.17,4,-1.84,2.01,,
