"","county_fips","year","rep_votes","all_votes","state","pc_rep","unemploy_rate","median_income","pc_uninsured","pop_over_18","turnout","med_inc_000s"
"117",1077,2020,31721,44339,"AL",71.541983355511,4.7,48428,9,74550,59.4755197853789,48.428
"118",1079,2012,8874,14112,"AL",62.8826530612245,11.5,39526,13.8,26241,53.7784383217103,39.526
"119",1079,2016,10833,14829,"AL",73.0528019421404,8.3,42339,11,26121,56.7704146089353,42.339
"120",1079,2020,12322,16031,"AL",76.8635768199114,3.8,47125,9.2,25832,62.058686899969,47.125
"121",1081,2012,32194,54359,"AL",59.2247833845361,9.7,43189,12.7,109583,49.6053219933749,43.189
"122",1081,2016,34617,59191,"AL",58.4835532428917,6.1,45056,9.5,120408,49.1586937745,45.056
"123",1081,2020,42221,71449,"AL",59.0924995451301,4.7,52930,7.8,128931,55.4164630693937,52.93
"124",1083,2012,25295,35459,"AL",71.3359090780902,8.9,48197,12.7,63406,55.9237296154938,48.197
"125",1083,2016,29067,40294,"AL",72.1372909117983,7.9,51115,12.5,69153,58.2678987173369,51.115
"126",1083,2020,34640,49235,"AL",70.3564537422565,5.1,64270,8.6,75110,65.5505258953535,64.27
"127",1085,2012,1756,7521,"AL",23.3479590479989,17.6,28023,13.3,8540,88.0679156908665,28.023
"128",1085,2016,1751,6684,"AL",26.1968880909635,12.3,27914,12.7,8112,82.396449704142,27.914
"129",1085,2020,1836,6835,"AL",26.861741038771,10.5,33634,8.3,7719,88.5477393444747,33.634
"130",1087,2012,1331,10394,"AL",12.805464691168,16.5,27957,13.1,16934,61.3794732490847,27.957
"131",1087,2016,1431,9140,"AL",15.6564551422319,15,32390,10.8,16142,56.6224755296741,32.39
"132",1087,2020,1541,8723,"AL",17.6659406167603,10.9,35450,9,15248,57.2075026232949,35.45
"133",1089,2012,90884,155059,"AL",58.612528134452,9.3,58242,12.4,255642,60.6547437432034,58.242
"134",1089,2016,89520,163389,"AL",54.7894901125535,7.3,60150,10.3,271279,60.2291367927484,60.15
"135",1089,2020,102780,194767,"AL",52.7707465843803,4.5,66887,8.1,287370,67.7756898771619,66.887
"136",1091,2012,5336,11537,"AL",46.2511918176302,10.6,34515,12.1,15824,72.9082406471183,34.515
"137",1091,2016,5233,10994,"AL",47.5986901946516,14.1,30713,12.2,15434,71.2323441751976,30.713
"138",1091,2020,5343,10900,"AL",49.0183486238532,6.9,33029,8.5,14691,74.1950854264516,33.029
"139",1093,2012,9697,12105,"AL",80.1073936389921,10.9,31970,12.7,24064,50.303357712766,31.97
"140",1093,2016,11274,12984,"AL",86.8299445471349,7.6,34074,9.6,23855,54.4288409138545,34.074
"141",1093,2020,12205,13807,"AL",88.397189831245,6.2,40978,10.3,23604,58.4943229961024,40.978
"142",1095,2012,25867,32566,"AL",79.4294663145612,9.1,38649,17.6,69671,46.7425471142943,38.649
"143",1095,2016,29233,35316,"AL",82.7755125155737,7.2,39831,15.4,71173,49.6199401458418,39.831
"144",1095,2020,33191,39655,"AL",83.6994073887278,3.7,50216,12.1,72114,54.9893224616579,50.216
"145",1097,2012,94893,174864,"AL",54.2667444413945,11.1,42973,16.1,309049,56.5813188199929,42.973
"146",1097,2016,95116,172737,"AL",55.0640569188998,8.7,44263,13.2,314896,54.8552537980794,44.263
"147",1097,2020,101243,183164,"AL",55.2745080911096,5.6,49625,11.2,316794,57.8180142300675,49.625
"148",1099,2012,5741,10708,"AL",53.6141202838999,14.8,30996,16.2,17233,62.136598386816,30.996
"149",1099,2016,5795,10271,"AL",56.4209911401032,21.8,28182,16.4,16829,61.0315526769267,28.182
"150",1099,2020,6147,10668,"AL",57.6209223847019,13.5,31969,12.2,16445,64.8707813925205,31.969
"151",1101,2012,38332,101924,"AL",37.608414112476,8.7,44401,13.3,172789,58.9875512908808,44.401
"152",1101,2016,34003,95878,"AL",35.4648615949436,8.4,45358,12.1,174528,54.9355977264393,45.358
"153",1101,2020,33311,99139,"AL",33.6002985706937,6.4,51963,10.1,173227,57.2306857476029,51.963
"154",1103,2012,35391,49323,"AL",71.7535429718387,11,45852,15.9,90776,54.3348462148586,45.852
"155",1103,2016,37486,50644,"AL",74.018639917858,8.9,46883,12.6,91850,55.1377245508982,46.883
"156",1103,2020,39664,53722,"AL",73.8319496668032,4.8,52923,10.2,91967,58.414431263388,52.923
"157",1105,2012,1506,6099,"AL",24.6925725528775,19.1,31008,16.1,7954,76.6784008046266,31.008
"158",1105,2016,1407,5278,"AL",26.657824933687,11.7,24912,15.4,7636,69.1199580932425,24.912
"159",1105,2020,1339,5230,"AL",25.6022944550669,11.5,23875,9.9,7175,72.8919860627178,23.875
"160",1107,2012,5124,9611,"AL",53.3139111434814,14.5,28762,12.7,15057,63.8307763830776,28.762
"161",1107,2016,5456,9542,"AL",57.1787885139384,12.3,31679,11.1,15847,60.2132895816243,31.679
"162",1107,2020,5594,9668,"AL",57.8609846917666,8.5,40362,9.4,16102,60.0422307787852,40.362
"163",1109,2012,7963,14107,"AL",56.4471538952293,9.7,31702,12.2,26104,54.0415262028808,31.702
"164",1109,2016,7693,13168,"AL",58.4219319562576,9.7,33193,10.6,26608,49.4888755261575,33.193
"165",1109,2020,8042,13841,"AL",58.1027382414565,4.9,39218,8.9,26989,51.283856385935,39.218
"166",1111,2012,7224,10398,"AL",69.4748990190421,11.6,35074,16.3,17583,59.1366660979355,35.074
"167",1111,2016,7705,10187,"AL",75.6356140178659,8,37496,11.9,17602,57.8741052153164,37.496
"168",1111,2020,8559,10837,"AL",78.9794223493587,4.1,45141,9.3,17918,60.4810804777319,45.141
"169",1113,2012,8278,18879,"AL",43.8476614227448,11.7,33591,17,40129,47.0457773679882,33.591
"170",1113,2016,9210,19256,"AL",47.8292480265891,9.4,38400,15.2,43917,43.846346517294,38.4
"171",1113,2020,9864,21329,"AL",46.2468939003235,5.6,42208,10.8,43957,48.5224196373729,42.208
"172",1115,2012,29031,35148,"AL",82.5964493001024,10.7,49652,13,63695,55.1817254101578,49.652
"173",1115,2016,31651,38400,"AL",82.4244791666667,6.4,54042,9,66635,57.627373002176,54.042
"174",1115,2020,36166,44441,"AL",81.3798069350375,5.2,62531,8.2,68800,64.5944767441861,62.531
"175",1117,2012,71436,92507,"AL",77.2222642610829,6.4,69379,9.3,145583,63.5424465768668,69.379
"176",1117,2016,73020,101254,"AL",72.1156695044146,4.6,72310,8.2,155659,65.0485998239742,72.31
"177",1117,2020,79700,114950,"AL",69.3344932579382,3.8,78889,6.1,165616,69.4075451647184,78.889
"178",1119,2012,1586,7027,"AL",22.5700868080262,19,22655,15.9,10600,66.2924528301887,22.655
"179",1119,2016,1581,6411,"AL",24.6607393542349,15.3,20428,18.2,10641,60.2480969833662,20.428
"180",1119,2020,1598,6291,"AL",25.4013670322683,8,26150,11.4,10170,61.858407079646,26.15
"181",1121,2012,19246,33373,"AL",57.6693734455997,14.5,35209,14.3,63008,52.9662899949213,35.209
"182",1121,2016,20614,33407,"AL",61.7056305564702,12,37923,11.1,63048,52.9866133739373,37.923
"183",1121,2020,22235,35663,"AL",62.3475310545944,7.1,43969,9.2,63253,56.3815155012411,43.969
"184",1123,2012,12396,18829,"AL",65.8346168144883,11.6,38611,14,32275,58.3392718822618,38.611
"185",1123,2016,13594,19486,"AL",69.7629067022478,9.8,39395,10.7,32161,60.5889120363173,39.395
"186",1123,2020,14963,20991,"AL",71.282930779858,11,48160,8.5,32068,65.4577772234003,48.16
"187",1125,2012,45748,78590,"AL",58.2109683165797,8,43996,12.1,152551,51.5171975273843,43.996
"188",1125,2016,47723,82700,"AL",57.7061668681983,7,48022,9.7,159932,51.7094765275242,48.022
"189",1125,2020,51117,90172,"AL",56.6883289712993,6,54283,7,165087,54.6208968604433,54.283
"190",1127,2012,21651,28521,"AL",75.9124855369728,13.7,37408,14.9,51943,54.9082648287546,37.408
"191",1127,2016,24266,29472,"AL",82.335776330076,11,37025,12.6,51028,57.7565258289567,37.025
"192",1127,2020,26002,31170,"AL",83.4199550850176,7.3,45833,11.4,49657,62.770606359627,45.833
"193",1129,2012,5761,8778,"AL",65.6299840510367,18,42256,16.7,13008,67.4815498154982,42.256
"194",1129,2016,6042,8533,"AL",70.8074534161491,16.1,40293,13.7,12942,65.9326224694792,40.293
"195",1129,2020,6564,8876,"AL",73.9522307345651,6.8,42331,9.5,12857,69.036322625807,42.331
"196",1131,2012,1679,6551,"AL",25.6296748588002,24.5,24212,17.3,8567,76.4678417182211,24.212
"197",1131,2016,1737,6118,"AL",28.3916312520432,20.4,24442,15.2,8521,71.7990846144819,24.442
"198",1131,2020,1833,5903,"AL",31.052007453837,13,35063,10.1,8040,73.4203980099502,35.063
"199",1133,2012,8312,9714,"AL",85.5672225653696,9.8,32830,17.5,19152,50.7205513784461,32.83
"200",1133,2016,9228,10313,"AL",89.4792979734316,8.7,33896,12.9,18973,54.3561903757972,33.896
"201",1133,2020,10195,11284,"AL",90.3491669620702,5.4,40991,12,18874,59.7859489244463,40.991
"202",2013,2012,3078,5707,"AK",53.9337655510776,3.1,58125,66.2,2851,200.17537706068,58.125
"203",2013,2016,4028,6533,"AK",61.6562069493341,2.6,65926,52,2892,225.899031811895,65.926
"204",2013,2020,4652,7713,"AK",60.3137559963698,3.6,75833,39.7,2946,261.812627291242,75.833
"205",2016,2012,2876,7181,"AK",40.0501322935524,3.6,77292,28,4681,153.407391582995,77.292
"206",2016,2016,3203,7436,"AK",43.0742334588488,1.1,86964,21.3,4816,154.401993355482,86.964
"207",2016,2020,3516,8118,"AK",43.3111603843311,4,87443,17.2,4691,173.054785759966,87.443
"208",2020,2012,4544,7964,"AK",57.0567553992968,7.3,76495,16.4,216447,3.67942267622097,76.495
"209",2020,2016,2187,7140,"AK",30.6302521008403,6,80862,14.5,224480,3.18068424803991,80.862
"210",2020,2020,2383,7497,"AK",31.7860477524343,5.2,84813,10.6,221182,3.38951632592164,84.813
"211",4001,2012,8250,25848,"AZ",31.9173630454967,19.6,31615,27.6,49019,52.7305738591159,31.615
"212",4001,2016,8240,27661,"AZ",29.7892339394816,15.8,32460,23.6,51155,54.0729156485192,32.46
"213",4001,2020,11442,35172,"AZ",32.5315591948141,9.4,33967,26.2,52479,67.0210941519465,33.967
"214",4003,2012,29497,49003,"AZ",60.1942738199702,9.2,45505,12.7,101175,48.4339016555473,45.505
"215",4003,2016,28092,50015,"AZ",56.1671498550435,8.6,45383,10.1,99603,50.2143509733643,45.383
"216",4003,2020,35557,60442,"AZ",58.8282982032362,6.8,51505,7.8,99283,60.8784988366588,51.505
"217",4005,2012,21220,51731,"AZ",41.0198913610794,8.4,48320,21.2,102494,50.4722227642594,48.32
"218",4005,2016,21108,59784,"AZ",35.3071055800883,8.2,51106,16.4,107969,55.3714492122739,51.106
"219",4005,2020,27052,73272,"AZ",36.919969428977,8.1,59000,11.1,113214,64.719910965075,59
"220",4007,2012,13455,21528,"AZ",62.5,9.2,38504,17.5,42053,51.1925427436806,38.504
"221",4007,2016,14182,22312,"AZ",63.5622086769451,12.1,40593,14,42351,52.683525772709,40.593
"222",4007,2020,18377,27662,"AZ",66.4340973176198,6.3,46907,10.1,43158,64.0947217201909,46.907
"223",4009,2012,8076,11855,"AZ",68.1231547870097,11.4,44421,16.7,26701,44.3990861765477,44.421
"224",4009,2016,8025,12134,"AZ",66.1364760178012,14.4,47422,11.3,27083,44.8030129601595,47.422
"225",4009,2020,10749,14995,"AZ",71.6838946315438,6.9,55693,7.4,28037,53.4828975996005,55.693
"226",4011,2012,1592,2974,"AZ",53.5305985205111,10.8,49692,15.6,6086,48.8662504107788,49.692
"227",4011,2016,1892,3270,"AZ",57.8593272171254,8.9,51813,11.5,6610,49.4704992435704,51.813
"228",4011,2020,2433,3685,"AZ",66.0244233378562,2.8,66368,3,6880,53.5610465116279,66.368
"229",4012,2012,3714,5717,"AZ",64.9641420325345,8.6,35093,16.1,16901,33.8264008046861,35.093
"230",4012,2016,4003,5951,"AZ",67.2660057133255,10.6,36321,12.2,16792,35.4394949976179,36.321
"231",4012,2020,5129,7458,"AZ",68.7717886832931,8.8,34956,13.3,17661,42.2286393748938,34.956
"232",4013,2012,749885,1376558,"AZ",54.4753653678232,9,54385,17.2,2832054,48.6063471953572,54.385
"233",4013,2016,747361,1567834,"AZ",47.668375606091,6.8,55676,13.7,3064628,51.1590313734652,55.676
